25-jährige;25-year-old
 überzeugt;convinced
 Rückkehr;Return
 schwere;heavy
 falsch;not correct
 unten;below
 behandelt;treated
 indes;however
 großes;large
 Worte;words
 getan;done
 Vorstellung;Idea
 somit;thus
 langsam;slowly
 gedacht;thought
 geändert;changed
 hervor;forth
 Hessen;Hesse
 Städte;cities
 unbedingt;absolutely
 Hotel;Hotel
 Artikel;Items
 tätig;active
 zahlreichen;numerous
 Geburtstag;Birthday
 gesprochen;spoken
 schließen;conclude
 Engagement;Engagement
 Gründe;Reasons
 erlaubt;allowed
 Ausländer;Foreigners
 Anleger;investors
 größer;greater
 verlieren;to lose
 Verhalten;Behavior
 ausgesprochen;pronounced
 fanden;found
 Betriebe;operations
 Praxis;Practice
 ums;killed
 galt;was
 Gemeinden;communities
 Wolfgang;Wolfgang
 Kanzler;Chancellor
 Viertel;Quarter
 private;private
 Zustand;State
 miteinander;together
 genauso;just like that
 präsentiert;presents
 Planung;Planning
 Forschung;Research
 staatlichen;government
 Gott;God
 einzigen;single
 wichtigen;important
 kosten;costs
 Verkehr;Traffic
 befinden;are located
 Kauf;Purchase
 Vorstellungen;Imaginations
 Halle;Hall
 Untersuchung;Examination
 s;s
 Rom;Rome
 bessere;better
 unserem;our
 jeweiligen;respective
 angelegt;applied
 beendet;completed
 Fälle;Cases
 Einschätzung;Assessment
 stehe;stand
 Dienst;Service
 herrscht;prevails
 Begriff;Term
 Sekunden;seconds
 Essen;Eat
 ans;ans
 erfüllt;Fulfills
 Krankenhaus;Hospital
 Auskunft;Information desk
 bauen;to build
 Rechnung;Bill
 Arbeitnehmer;workers
 endgültig;final
 Truppen;Troops
 Jungen;Boys
 Aufbau;Construction
 leider;Unfortunately
 verpflichtet;Committed
 Auffassung;view
 komme;come
 Karriere;Career
 bezahlen;pay
 Telefon;Phone
 Rest;Rest
 Umwelt;Environment
 schlägt;strikes
 bewußt;deliberately
 wichtiger;more important
 Sonne;Sun
 trat;occurred
 gelangen;reach
 schneller;more quickly
 Kandidaten;candidates
 Brief;Letter
 folgenden;following
 erscheinen;appear
 wirtschaftliche;economic
 Nr.;No.
 Fahrer;Driver
 erforderlich;required
 Rennen;Run
 Nachfrage;Demand
 Morgen;Tomorrow
 Verdacht;suspicion
 eigener;own
 Hinweis;Note
 Umgebung;Surroundings
 bestätigte;confirmed
 Regelung;Regulation
 Fenster;Window
 dienen;serve
 modernen;modern
 zuständig;responsible
 Flughafen;Airport
 Generation;Generation
 gelegt;placed
 ergeben;yield
 nationalen;national
 Waffen;Weapons
 Schicksal;Fate
 Entscheidungen;Decisions
 Jugend;Youth
 Niederlage;Defeat
 Spaß;Fun
 Niveau;Level
 Gelände;Terrain
 Trend;Trend
 heißen;be called
 Tatsache;Fact
 Presse;Press
 Feuer;Fire
 bezahlt;paid
 Förderung;promotion
 Bildung;Education
 vorstellen;imagine
 grundsätzlich;basically
 voller;full of
 Winter;Winter
 italienischen;Italian
 Botschaft;Embassy
 Investoren;investors
 Grad;Degree
 Geschäfte;Businesses
 Leser;Reader
 spielte;played
 bayerischen;Bavarian
 erzielt;achieved
 reichen;rich
 Einrichtung;Facility
 Energie;Energy
 Gelegenheit;Opportunity
 regelmäßig;regularly
 übertragen;transfer
 Freude;Joy
 verändert;changed
 Umgang;handling
 Fans;fans
 entweder;either
 Dauer;duration
 Finanzierung;Financing
 Hersteller;Manufacturer
 Größe;Size
 eingestellt;set
 Kontakt;Contact
 früh;early
 ursprünglich;originally
 m;m
 Prinzip;Principle
 Ausdruck;Expression
 definieren;define
 Mittelpunkt;Focus
 Wunder;Wonder
 eindeutig;clearly
 Quadratmeter;Square meters
 Mitarbeitern;employees
 Behandlung;Treatment
 größeren;larger
 Nachbarn;Neighbors
 Schriftsteller;Writer
 Himmel;Sky
 hoffen;to hope
 unterstützen;support
 Auge;Eye
 Risiko;Risk
 allgemeinen;generally
 verdient;earned
 Tor;Gate
 Finanzminister;Minister of Finance
 Maria;Maria
 behauptet;claims
 Rücktritt;Resignation
 schwarzen;black
 bewegen;move
 plus;plus
 mögliche;possible
 passiert;happens
 Angesichts;Given
 betroffen;affected
 durchgeführt;carried out
 entsteht;arises
 Vorwürfe;Accusations
 näher;closer
 bekam;got
 Aussage;Statement
 Verfassung;Constitution
 Bewohner;residents
 vorhanden;available
 richtige;right one
 übrigens;by the way
 Kommunen;local authorities
 Städten;cities
 Werner;Werner
 verfügt;features
 Filme;films
 Tabelle;Table
 historischen;historical
 Werbung;Advertising
 fragt;asks
 Gegenteil;Opposite
 Fischer;Fischer
 Gegensatz;Contrast
 Bauern;Farmers
 Arzt;Doctor
 Leitung;Management
 voraussichtlich;expected
 Dieter;Dieter
 besondere;special
 Abgeordneten;deputies
 sehe;see
 Arbeiter;workers
 Beschluß;Decision
 festgenommen;arrested
 Ermittlungen;investigations
 Minute;Minute
 Anzahl;Number
 Willen;will
 Ruf;Call
 aktiv;active
 Karlsruhe;Karlsruhe
 einiger;some
 westlichen;Western
 Schweden;Sweden
 technischen;technical
 verwenden;use
 Vorwurf;accusation
 zwanzig;twenty
 the;the
 höheren;higher
 offiziell;officially
 tief;deep
 in;in
 der;of the
 Regel;Rule
 Du;You
 Ausbau;Expansion
 Auswahl;Selection
 Voraussetzung;Requirement
 Wissenschaft;Science
 richtigen;right
 schien;seemed
 festgelegt;set
 Bilanz;balance sheet
 erhöhen;increase
 kurzem;recently
 Gang;Corridor
 vorerst;for the time being
 Hände;Hands
 wirken;Act
 Vertrauen;Trust
 denkt;thinks
 lösen;to solve
 Positionen;positions
 zählen;counting
 Veränderungen;changes
 besitzt;has
 Alternative;Alternative
 Falle;Cases
 Entwurf;Design
 Ziele;Aims
 sichern;to back up
 ernst;serious
 positiv;positive
 Tat;Did
 ermöglicht;permits
 Ideen;ideas
 ausgeschlossen;locked out
 Änderung;Modification
 Ebene;Level
 äußerst;extremely
 Lager;Camp
 zweimal;twice
 Brandenburg;Brandenburg
 Tür;Door
 dringend;urgent
 Regisseur;Director
 Wechsel;change
 Begründung;Reason
 alter;older
 Wirklichkeit;Reality
 Pfennig;Pfennig
 fehlen;absence
 links;Left
 Summe;Total
 Aktivitäten;Activities
 Erinnerung;Memory
 Zugang;Access
 II;II
 praktisch;practically
 geöffnet;open
 Leipzig;Leipzig
 Frank;Frank
 Strecke;Route
 japanischen;Japanese
 fährt;moves
 Wende;Turn
 Herz;Heart
 Autoren;authors
 fürs;for
 übrigen;other
 Ausgabe;Output
 Fußball;Soccer
 Kölner;Cologne
 kritisierte;criticized
 Projekte;projects
 versteht;understands
 Stil;Style
 letztlich;ultimately
 Aussagen;statements
 Oberbürgermeister;Mayor
 herum;around
 Bundeswehr;Armed forces
 Verständnis;Understanding
 steigt;increases
 kämpfen;fight
 zugunsten;in favor of
 glaube;faith
 Fraktion;Fraction
 Posten;Post
 Dorf;Valley
 Post;Post
 unmittelbar;immediate
 Bruder;Brothers
 außen;Outside
 welcher;which one
 Rang;Rank
 Krankheit;Illness
 Heinz;Heinz
 eingerichtet;furnished
 Auswirkungen;effects
 Strom;Electricity
 bloß;just
 Auseinandersetzung;Confrontation
 zumal;especially
 Struktur;Structure
 Linie;Line
 Felder;fields
 Ministerpräsidenten;Prime Minister
 dient;is used
 Clinton;Clinton
 wußte;knew
 falls;if
 entstand;originated
 Herrn;Lord
 Autofahrer;Motorist
 Information;Information
 Erwartungen;Expectations
 Sitz;Seat
 definiert;Are defined
 warf;threw
 Fusion;Fusion
 Untersuchungen;investigations
 gaben;gifts
 verlor;lost
 los;Come on
 daraufhin;then
 Zinsen;Interest
 scheinen;seem to be
 Sowjetunion;Soviet Union
 Büro;Office
 angenommen;accepted
 Ursache;Reason
 Steuern;Control
 fühlen;feel
 Anlagen;installations
 Jürgen;Jürgen
 Franzosen;French people
 allzu;too
 liege;lie
 verteilt;distributed
 soviel;so much
 Jelzin;Yeltsin
 Landtag;Parliament
 Nürnberg;Nuremberg
 Ab;From
 Bereichen;areas
 stammt;originates
 Service;Service
 künftigen;future
 Kino;Movie theater
 Behörde;Authority
 gehandelt;traded
 Nutzung;Use
 ausgerechnet;calculated
 Interview;Interview
 Wissen;Knowledge
 zuerst;first
 aufgefordert;asked
 Gewerkschaft;Labor union
 davor;before
 Ausnahme;Exception
 Erhöhung;Increase
 wächst;grows
 gearbeitet;worked
 Rechte;Right
 eins;one
 unterschiedlichen;different
 Walter;Walter
 geradezu;almost
 wirft;throws
 international;international
 Zug;Train
 erreichte;reached
 Bedarf;Requirement
 erlebt;experienced
 teuer;expensive
 Kritiker;Critic
 Flucht;escape
 Klage;Legal action
 Änderungen;changes
 u.;u .
 informiert;informed
 geschickt;cleverly
 Gerhard;Gerhard
 erinnern;recall
 Männern;men
 Unternehmer;entrepreneurs
 klingt;sounds
 Hinweise;Hints
 kräftig;strong
 fort;continue
 rein;purely
 eigenes;own
 spät;late
 Eröffnung;Opening
 Beratung;Consultation
 Franz;Franz
 Gefängnis;Jail
 städtischen;urban
 angezeigt;displayed
 rasch;rapidly
 vorgestellt;presented
 erfüllen;fulfill
 freie;free
 fertig;finished
 Haushalt;Household
 berücksichtigt;considered
 schlagen;beat
 Direktor;Director
 Realität;Reality
 Falls;If
 B;B
 Schreiben;Write
 Sender;transmitter
 Provinz;Province
 Job;Job
 festgestellt;detected
 Standort;Location
 Beruf;Job
 gestorben;died
 voraus;ahead
 gesucht;searched
 überwiegend;mostly
 Stellung;Position
 Einigung;Agreement
 Vorschläge;Proposals
 Texte;texts
 fühlt;feels
 Schuld;Fault
 leichter;lighter
 vierten;fourth
 Halbjahr;Six months
 Rücken;Move
 Innenminister;Interior Minister
 Karten;Cards
 halben;half
 betrachtet;considered
 schlug;beat
 geschehen;happen
 Zeitraum;Period
 vermeiden;avoid
 stattfinden;occur
 prüfen;check
 unterdessen;Meanwhile
 ausländischen;foreign
 vieler;many
 Formen;To form
 Tore;Gates
 starb;died
 Regeln;Regulate
 Einrichtungen;facilities
 Umfang;Scope
 fragen;ask
 Konflikt;Conflict
 Vereinigung;Union
 Vier;Four
 Teilen;Divide
 Vorsitzenden;Chairman
 Voraussetzungen;Requirements
 Plätze;courses
 beraten;to advise
 Einwohner;residents
 Verluste;Losses
 rechten;right
 zugeordnet;assigned
 tausend;thousand
 gerechnet;expected
 offenen;open
 warnte;warned
 verbessern;improve
 unterwegs;on road
 führenden;leading
 Hauses;house
 Anbieter;Providers
 übernimmt;takes over
 diskutiert;discussed
 Herren;Men's
 Anstieg;Rise
 ausländische;foreign
 Objekte;objects
 Geschichten;stories
 versuchte;tried
 bisherige;previous
 beschreibt;describes
 Hof;Court
 Serie;Series
 allem;everything
 Unterschied;Difference
 weißen;white
 türkischen;Turkish
 Revolution;Revolution
 Personal;Staff
 hilft;help
 Karl;Karl
 Gründung;Founding
 Martin;Martin
 verboten;forbidden
 verhindert;prevented
 nahmen;participated
 Lust;pleasure
 Schauspieler;Actor
 Fahrt;Journey
 Veranstalter;Organizer
 begründet;founded
 Wahlkampf;Election campaign
 Auftritt;appearance
 guter;goods
 gutes;good
 ARD;ARD
 Dichter;Poet
 Vorbild;Role model
 finanziellen;financial
 Allianz;Alliance
 zerstört;destroyed
 hart;hard
 rief;exclaimed
 Einnahmen;Revenue
 ermöglichen;enable
 einig;Some
 Beamte;Officer
 and;and
 gelingt;succeed
 in;in
 erster;first
 Linie;Line
 Status;Status
 gefährdet;endangered
 Vorteil;Advantage
 Strukturen;structures
 rechts;right
 staatliche;government
 Kooperation;Cooperation
 Spiele;games
 Kräfte;forces
 persönlich;personally
 wachsen;to grow
 Atmosphäre;The atmosphere
 Landesregierung;State government
 wann;when
 Angriff;Attack
 Müller;Müller
 Regionen;regions
 Dresden;Dresden
 besetzt;occupied
 technische;technical
 Plus;Plus
 darüber;about that
 hinaus;addition
 gesichert;secured
 besonderen;special
 gehörte;belonged
 verspricht;promises
 vergeben;forgive
 traf;met
 a;a
 wonach;after which
 Inhalt;Content
 Vorhaben;Project
 plant;planning
 Galerie;Gallery
 Horst;Horst
 Protest;Protest
 Urlaub;Vacation
 gelassen;calmly
 Traum;Dream
 steckt;plugged
 Leuten;people
 bestimmen;determine
 mehrfach;multiple
 Tätigkeit;Activity
 wesentlichen;substantially
 Josef;Joseph
 Alexander;Alexander
 beteiligen;participate
 unabhängig;independently
 finanzielle;financial
 Anwalt;lawyer
 Veranstaltungen;events
 überraschend;surprised
 gescheitert;failed
 offiziellen;official
 pflegen;care for
 roten;redden
 bildet;forms
 solange;so long
 Erfolge;Successes
 schließt;closes
 Helmut;Helmut
 Innenstadt;Downtown
 Junge;Boy
 Mitteln;resources
 Peking;Beijing
 aufgebaut;built up
 Zeitungen;newspapers
 Becker;Becker
 politischer;political
 Wähler;voters
 Software;Software
 demnächst;soon
 Konsequenzen;consequences
 erzeugt;generated
 retten;rescue
 unterschiedliche;different
 veröffentlicht;released
 höchsten;highest
 stimmt;Right
 Reaktion;Reaction
 Bernd;Bernd
 halte;consider
 reduziert;reduced
 moderne;modern
 mache;make
 M.;M .
 Rückgang;Decline
 schwierig;difficult
 produziert;produced
 Ausgaben;Expenditure
 hört;listening
 Kassen;cash
 Tokio;Tokyo
 General;General
 schloß;lock
 Günter;Günter
 deswegen;therefore
 organisiert;organized
 ZDF;ZDF
 Methode;Method
 persönlichen;personal
 Sorge;anxiety
 Sorgen;To care
 verfolgt;tracked
 Ungarn;Hungary
 Nato;Nato
 Messe;exhibition
 israelischen;Israeli
 vollständig;Completed
 Figuren;Characters
 kurzen;short
 Fest;Firmly
 bosnischen;Bosnian
 welchen;which
 Angeklagten;accused
 Höhepunkt;Climax
 künftige;future
 finanziert;finances
 aktuelle;current
 zeigten;showed
 bekannten;known
 spätestens;no later than
 Strategie;Strategy
 vorgeworfen;accused
 bemüht;endeavor
 sorgt;provides
 Rat;Advice
 meinem;my
 Ostdeutschland;East Germany
 gegenwärtig;currently
 benötigt;required
 Spur;Track
 Ball;Ball
 Finale;Final
 keinem;no
 schöne;lovely
 reagiert;responding
 Manfred;Manfred
 schützen;protect
 Ernst;Serious
 stammen;come
 Rande;edge
 Schatten;Shadow
 verbessert;improved
 jüdischen;Jewish
 positive;positive
 manchen;some
 entlassen;dismiss
 Phase;Phase
 Vorgang;Process
 Asien;Asia
 eng;closely
 halbe;half
 beziehungsweise;respectively
 Vereinigten;United
 Staaten;States
 Gemeinschaft;Community
 Abschnitt;Section
 Verbrechen;Crime
 dank;thanks
 Geist;Ghost
 tot;dead
 eingeführt;introduced
 berichten;to report
 anlegen;invest
 Kirchen;churches
 Funktionen;functions
 Sanierung;remediation
 Arbeitsplatz;Workplace
 Sieger;Winner
 Aktionen;Actions
 vorgelegt;submitted
 verabschiedet;adopted
 Wind;Wind
 vorbereitet;prepared
 Fahrzeuge;Vehicles
 Kurse;Courses
 untersucht;examined
 durfte;could
 u.a.;and others
 Maschinen;Machinery
 ausgelöst;triggered
 Indien;India
 Haft;detention
 bewegt;emotional
 Zweck;Purpose
 Währung;Currency
 bitte;You're welcome
 Jahrzehnten;decades
 Wald;Forest
 wichtigste;important
 Zimmer;Room
 Verlauf;Course
 ausgesetzt;exposed
 Prüfung;Exam
 Verwendung;Use
 kurze;short
 Blut;Blood
 Anwendung;Application
 Anhänger;Pendant
 Aufnahme;Admission
 Sammlung;Collection
 benutzt;used
 Angebote;Deals
 Einstellung;Attitude
 Umsetzung;Implementation
 Dach;Top, roof
 Irak;Iraq
 gezwungen;forced
 Premiere;Premiere
 AP;AP
 hoher;higher
 starten;start
 Kasse;Cash register
 Nichts;Nothing
 Hektar;hectares
 persönliche;personal
 Paul;Paul
 Termin;Meeting
 gemeldet;reported
 entwickelte;developed
 Kontakte;Contacts
 anbieten;to offer
 Räume;spaces
 Abgeordnete;MPs
 stellten;set
 Regierungschef;Prime Minister
 menschlichen;human
 Abbau;reduction
 meldete;reported
 Ton;Volume
 Unfall;Accident
 Touristen;tourists
 englischen;English
 Abkommen;Agreement
 erfaßt;detected
 Metern;meters
 selbstverständlich;Of course
 Stiftung;Foundation, endowment
 Existenz;Existence
 Zeugen;witnesses
 Gold;Gold
 Absicht;Intention
 Objekt;Object
 Anders;Different
 Anklage;Accusation
 Verbraucher;Consumer
 funktioniert;is working
 Großen;great
 bestehenden;existing
 Einkommen;Income
 beider;in the
 sinnvoll;sense
 Abstimmung;Poll
 liefern;deliver
 schafft;creates
 Ecke;Corner
 Siemens;Siemens
 Gutachten;expertise
 Version;Version
 Kennzeichen;Mark
 Konferenz;Conference
 Pariser;Paris
 Bundesliga;Bundesliga
 erhebliche;substantial
 erfolgen;respectively
 traditionellen;traditional
 Dialog;Dialog
 Dutzend;Dozen
 abhängig;dependent
 hängen;hang
 ausgegeben;spent
 Bedenken;Concerns
 ergibt;results
 einschließlich;including
 Konkurrenten;competitors
 Iran;Iran
 vermutet;supposed
 aufnehmen;record, tape
 verzichtet;dispensed
 bundesweit;nationwide
 bekannte;known
 betroffenen;concerned
 befürchten;fear
 Anerkennung;Recognition
 Ehe;Marriage
 liest;read
 Gast;Guest
 damaligen;then
 Wiener;Vienna
 genügend;enough
 ersetzt;replaced
 Vereine;Societies
 beobachtet;observed
 notwendigen;necessary
 verdienen;to earn
 niemals;No way
 Brand;Fire
 verstanden;Roger that
 stolz;proud
 reagieren;react
 Laufe;Run
 schönen;beautiful
 vorgenommen;performed
 erhoben;applicable
 Spuren;Traces
 mitten;in the middle
 Reformen;reforms
 erschien;appeared
 Mut;Courage
 grünen;green
 Christian;Christian
 verliert;loses
 Anna;Anna
 Aussicht;View
 andererseits;on the other hand
 Staates;State
 Charakter;Character
 Spiegel;Mirror
 Analyse;Analysis
 Kapital;Capital
 Organisationen;organizations
 Beschäftigung;Employment
 Herzen;heart
 einiges;lot
 Landwirtschaft;Agriculture
 bedroht;threatened
 linken;left
 Deutscher;German
 Russen;Russians
 stellvertretende;Deputy
 eingeladen;invited
 verlangen;desire
 langem;long
 Stadtrat;City council
 Beiträge;contributions
 erkannt;recognized
 historische;historical
 Zuschauern;viewers
 trug;wore
 Afrika;Africa
 Schritte;Steps
 höchste;highest
 Mord;Murder
 Dortmund;Dortmund
 Studium;Education
 erläutert;explains
 Alltag;Everyday life
 Teilnahme;Participation
 befürchtet;feared
 geschafft;made
 Betrag;Amount
 Nachmittag;Afternoon
 solches;such
 Betroffenen;concerned
 ausdrücklich;expressly
 jenen;those
 präsentieren;present
 Bildern;images
 Fläche;Area
 Berichte;reports
 Wiesbaden;Wiesbaden
 klassischen;classic
 heftig;violently
 äußerte;expressed
 Gewinne;profits
